Date,Day,Time,Event,Location
2026-05-22,Friday,All Day,CITY ERASED: Mapping Seattle's Highway Cut | Exhibition,"Gould Gallery | Gould Hall, 3950 University Wy NE, Seattle, WA 98105"
2026-05-22,Friday,10:00 AM,Info Session | Study Abroad 101,Zoom - Please register using the online meeting link
2026-05-22,Friday,12:00 PM,FIELD DAY FESTIVAL,Oak Hall (OAK)
2026-05-22,Friday,12:00 PM,Research Computing Club Office Hour - In person,Physics-Astronomy Tower (PAT)
2026-05-22,Friday,2:30 PM,Landscape Architecture Programs Info Session,Gould 102
2026-05-22,Friday,3:30 PM,34th Annual Visiting Scholar in Cardiothoracic Surgery,Magnuson Health Sciences Center D (HSD)
2026-05-22,Friday,7:30 PM,Guitar Studio Recital,Music Building (MUS)
2026-05-22,Friday,7:30 PM,UW Sings,Meany Hall (MNY)
2026-05-22,Friday,7:30 PM,Everybody,Floyd and Delores Jones Playhouse (PHT)
2026-05-23,Saturday,All Day,CITY ERASED: Mapping Seattle's Highway Cut | Exhibition,"Gould Gallery | Gould Hall, 3950 University Wy NE, Seattle, WA 98105"
2026-05-23,Saturday,7:30 PM,Everybody,Floyd and Delores Jones Playhouse (PHT)
2026-05-24,Sunday,All Day,CITY ERASED: Mapping Seattle's Highway Cut | Exhibition,"Gould Gallery | Gould Hall, 3950 University Wy NE, Seattle, WA 98105"
2026-05-24,Sunday,2:00 PM,Everybody,Floyd and Delores Jones Playhouse (PHT)
2026-05-25,Monday,All Day,CITY ERASED: Mapping Seattle's Highway Cut | Exhibition,"Gould Gallery | Gould Hall, 3950 University Wy NE, Seattle, WA 98105"
2026-05-26,Tuesday,All Day,CITY ERASED: Mapping Seattle's Highway Cut | Exhibition,"Gould Gallery | Gould Hall, 3950 University Wy NE, Seattle, WA 98105"
2026-05-26,Tuesday,10:00 AM,UW Surplus Public Store,Plant Services Building (PSB)
2026-05-26,Tuesday,4:00 PM,Omenn Lecture in Environmental Health: Howard Frumkin on The Nature of Environmental Health,Hans Rosling Center for Population Health (HRC)
2026-05-26,Tuesday,5:30 PM,Spring Celebration | The revolution will be frosted: Join GWSS for cake and community!,University of Washington Club (Faculty Center) (FAC)
2026-05-26,Tuesday,7:30 PM,Percussion Ensemble,Meany Hall (MNY)
2026-05-27,Wednesday,All Day,CITY ERASED: Mapping Seattle's Highway Cut | Exhibition,"Gould Gallery | Gould Hall, 3950 University Wy NE, Seattle, WA 98105"
2026-05-27,Wednesday,10:00 AM,UW Surplus Online Store,Plant Services Building (PSB)
2026-05-27,Wednesday,11:00 AM,"Science in Medicine Lecture: Anne Manicone, MD",South Lake Union C Building (Admin) (SLC)
2026-05-27,Wednesday,11:30 AM,"Evans Research Seminar: ""EPIC Reflections: Three Cases of Community-Engaged Research for Public Impact""",Parrington Hall (PAR)
2026-05-27,Wednesday,12:30 PM,CDRC Spring Seminar Series,Health Sciences Education Building (HSEB)
2026-05-27,Wednesday,1:00 PM,CREATE Community Day,Bill & Melinda Gates Center for Computer Science & Engineering (CSE2)
2026-05-27,Wednesday,1:00 PM,Research Computing Club Office Hour - In person,Physics-Astronomy Tower (PAT)
2026-05-27,Wednesday,3:30 PM,Husky Sustainability Awards celebration,Kane Hall (KNE)
2026-05-27,Wednesday,4:00 PM,Weston T. and Sheila Borden Endowed Lecture in Theoretical Chemistry: Prof. Benedetta Mennucci,Electrical and Computer Engineering Building (ECE)
2026-05-27,Wednesday,6:00 PM,Botanical Fiber Art Workshop: Embroidered Photo Frame (in-person),Center for Urban Horticulture Complex (CUH)
2026-05-27,Wednesday,6:00 PM,RSO Sustainability Roundtable,Mary Gates Hall (MGH)
2026-05-27,Wednesday,6:30 PM,Is A River Alive? Exploring the lives deaths and rights of rivers with Robert Macfarlane,Town Hall Seattle
